time,gFx,gFy,gFz,TgF
0.002647917,-0.2632,0.9449,-0.2783,1.020
0.007207656,-0.2818,0.9352,-0.3033,1.023
0.011729271,-0.2779,0.9342,-0.3140,1.024
0.014805573,-0.2730,0.9352,-0.3155,1.024
0.018973438,-0.2598,0.9327,-0.3081,1.016
0.022472604,-0.2564,0.9342,-0.3023,1.015
0.026535573,-0.2569,0.9327,-0.2837,1.008
0.028966563,-0.2559,0.9293,-0.2735,1.002
0.031816979,-0.2598,0.9264,-0.2622,0.997
0.036605,-0.2652,0.9205,-0.2461,0.989
0.039517031,-0.2666,0.9161,-0.2417,0.984
0.043686511,-0.2632,0.9146,-0.2393,0.981
0.046117292,-0.2530,0.9166,-0.2466,0.982
0.048911927,-0.2456,0.9186,-0.2574,0.985
0.053581927,-0.2354,0.9132,-0.2915,0.987
0.056477292,-0.2320,0.9068,-0.3194,0.989
0.063173177,-0.2432,0.9181,-0.3247,1.004
0.06357125,-0.2530,0.9234,-0.3257,1.011
0.06826349,-0.2593,0.9317,-0.3492,1.028
0.070695469,-0.2613,0.9371,-0.3619,1.038
0.073650261,-0.2652,0.9371,-0.3770,1.044
0.07823625,-0.2686,0.9395,-0.4004,1.056
0.081273333,-0.2710,0.9371,-0.4102,1.058
0.085031927,-0.2744,0.9356,-0.4268,1.064
0.08781849,-0.2769,0.9312,-0.4302,1.063
0.092710729,-0.2696,0.9269,-0.4546,1.067
0.097764948,-0.2896,0.9342,-0.3980,1.056
0.102427083,-0.2935,0.9352,-0.3643,1.046
0.107325521,-0.2754,0.9488,-0.3428,1.046
0.112198594,-0.2608,0.9571,-0.2661,1.027
0.114685938,-0.2652,0.9508,-0.2310,1.014
0.117449427,-0.2715,0.9430,-0.2041,1.002
0.122784427,-0.2813,0.9361,-0.1602,0.991
0.127241615,-0.2764,0.9220,-0.1533,0.975
0.132005833,-0.2901,0.9093,-0.0967,0.959
0.134442865,-0.3067,0.9005,-0.0718,0.954
0.1396225,-0.3335,0.9073,-0.0073,0.967
0.144012292,-0.3355,0.9303,0.0376,0.990
0.146514375,-0.3203,0.9376,0.0313,0.991
0.14983276,-0.3096,0.9386,0.0630,0.990
0.153948385,-0.2959,0.9337,0.0776,0.983
0.156610677,-0.2803,0.9215,0.0732,0.966
0.159135938,-0.2617,0.9102,0.0659,0.949
0.164940313,-0.2207,0.8873,0.0288,0.915
0.168634792,-0.1748,0.8697,0.0186,0.887
0.171057865,-0.1690,0.8614,0.0356,0.879
0.176010625,-0.1519,0.8673,0.0625,0.883
0.181774688,-0.1465,0.8731,0.1021,0.891
0.185675313,-0.1465,0.8932,0.1294,0.914
0.190949219,-0.1690,0.9098,0.1450,0.937
0.195560469,-0.2022,0.9122,0.1455,0.946
0.198082813,-0.2217,0.9137,0.1475,0.952
0.20253099,-0.2749,0.9205,0.1695,0.976
0.20793151,-0.2989,0.9254,0.1846,0.990
0.213103229,-0.3326,0.9464,0.2652,1.038
0.215613698,-0.3321,0.9483,0.2969,1.048
0.22012026,-0.3218,0.9342,0.3296,1.042
0.223270885,-0.3135,0.9259,0.3340,1.033
0.227440208,-0.2647,0.9073,0.3404,1.005
0.232179948,-0.2124,0.8839,0.3399,0.971
0.237005573,-0.1411,0.8272,0.3199,0.898
0.239886094,-0.1309,0.7930,0.3160,0.864
0.244111406,-0.1377,0.7388,0.3194,0.817
0.249370052,-0.1450,0.7012,0.3282,0.788
0.251991979,-0.1382,0.7086,0.3506,0.803
0.25768349,-0.1074,0.7325,0.3833,0.834
0.26183651,-0.0601,0.7628,0.3941,0.861
0.26463099,-0.0293,0.7755,0.3872,0.867
0.268819531,0.0015,0.7867,0.3667,0.868
0.271296875,0.0059,0.7838,0.3560,0.861
0.274808594,0.0161,0.7740,0.3413,0.846
0.278537656,0.0557,0.7467,0.2954,0.805
0.281556354,0.0767,0.7252,0.2715,0.778
0.286521563,0.1411,0.7208,0.2271,0.769
0.291029375,0.1382,0.7022,0.2740,0.766
0.295722135,0.0781,0.7017,0.3330,0.781
0.300822656,-0.1040,0.7545,0.3711,0.847
0.303378594,-0.2642,0.8062,0.3848,0.932
0.307599427,-0.4698,0.8731,0.3897,1.065
