time,gFx,gFy,gFz,TgF
0.003882344,0.1582,0.3321,0.9049,0.977
0.006499427,0.1475,0.3487,0.9088,0.984
0.008951979,0.1460,0.3496,0.9146,0.990
0.011610313,0.1411,0.3501,0.9186,0.993
0.016116875,0.1411,0.3448,0.9303,1.002
0.019349063,0.1455,0.3394,0.9352,1.005
0.024378646,0.1504,0.3330,0.9464,1.014
0.030161094,0.1563,0.3301,0.9596,1.027
0.033349011,0.1607,0.3306,0.9703,1.038
0.035958177,0.1616,0.3301,0.9728,1.040
0.038923282,0.1621,0.3286,0.9752,1.042
0.041370625,0.1626,0.3262,0.9781,1.044
0.045861094,0.1602,0.3262,0.9811,1.046
0.050609948,0.1587,0.3272,0.9820,1.047
0.055118698,0.1563,0.3257,0.9815,1.046
0.05789724,0.1543,0.3233,0.9796,1.043
0.060594479,0.1543,0.3213,0.9781,1.041
0.065297032,0.1543,0.3179,0.9713,1.034
0.067764063,0.1528,0.3194,0.9669,1.030
0.07053099,0.1528,0.3164,0.9630,1.025
0.075096823,0.1504,0.3120,0.9518,1.013
0.080061823,0.1509,0.3120,0.9459,1.007
0.085291354,0.1470,0.3135,0.9400,1.002
0.088106719,0.1475,0.3150,0.9366,0.999
0.091926407,0.1485,0.3189,0.9361,1.000
0.09700849,0.1509,0.3262,0.9381,1.005
0.102050729,0.1494,0.3291,0.9356,1.003
0.104926094,0.1480,0.3316,0.9366,1.005
0.109297604,0.1499,0.3355,0.9371,1.007
0.112099636,0.1489,0.3321,0.9366,1.005
0.11664599,0.1528,0.3330,0.9303,1.000
0.121586198,0.1524,0.3286,0.9283,0.996
0.126545625,0.1460,0.3233,0.9249,0.991
0.130901875,0.1455,0.3228,0.9210,0.987
0.133467032,0.1387,0.3125,0.9161,0.978
0.136110677,0.1358,0.3076,0.9137,0.974
0.138692292,0.1343,0.3081,0.9112,0.971
0.141146198,0.1314,0.3081,0.9083,0.968
0.14652224,0.1323,0.3042,0.9034,0.962
0.15082849,0.1299,0.3018,0.9005,0.959
0.155783646,0.1299,0.3008,0.9015,0.959
0.160803021,0.1338,0.2998,0.9034,0.961
0.165640209,0.1338,0.3023,0.9068,0.965
0.168123386,0.1348,0.3072,0.9112,0.971
0.171178854,0.1362,0.3086,0.9200,0.980
0.175393907,0.1348,0.3155,0.9405,1.001
0.180525157,0.1406,0.3199,0.9591,1.021
0.185169011,0.1372,0.3150,0.9737,1.033
0.188099584,0.1333,0.3120,0.9806,1.038
0.190845938,0.1318,0.3116,0.9903,1.047
0.194674792,0.1255,0.3067,1.0060,1.059
0.197216094,0.1240,0.3033,1.0118,1.064
0.199800625,0.1192,0.3018,1.0157,1.066
0.204463229,0.1118,0.2954,1.0245,1.072
0.207060729,0.1089,0.2940,1.0221,1.069
0.212113386,0.1050,0.2852,1.0162,1.061
0.217213229,0.1006,0.2813,1.0060,1.049
0.222148229,0.0967,0.2808,0.9903,1.034
0.226743959,0.1001,0.2759,0.9796,1.023
0.232139688,0.1050,0.2759,0.9762,1.020
0.236544636,0.1152,0.2867,0.9703,1.018
0.241306302,0.1231,0.2998,0.9718,1.024
0.246210834,0.1377,0.3111,0.9762,1.034
0.25090875,0.1553,0.3199,0.9742,1.037
0.253723959,0.1616,0.3199,0.9718,1.036
0.258222604,0.1724,0.3218,0.9640,1.031
0.261127188,0.1773,0.3228,0.9566,1.025
0.265894948,0.1797,0.3247,0.9415,1.012
0.269321563,0.1821,0.3243,0.9337,1.005
0.273606563,0.1880,0.3301,0.9249,1.000
0.277840313,0.1861,0.3365,0.9229,1.000
0.280464115,0.1836,0.3389,0.9225,1.000
0.285332188,0.1778,0.3418,0.9269,1.004
0.287866615,0.1699,0.3482,0.9352,1.012
0.290650104,0.1641,0.3531,0.9454,1.022
0.294768959,0.1509,0.3643,0.9679,1.045
