time,gFx,gFy,gFz,TgF
0.001338073,0.1978,0.3662,0.8463,0.943
0.006823437,0.2027,0.3619,0.8805,0.973
0.009931979,0.2080,0.3604,0.9019,0.993
0.013842916,0.2090,0.3584,0.9117,1.002
0.017330364,0.2144,0.3579,0.9312,1.020
0.019759479,0.2168,0.3579,0.9381,1.027
0.022249687,0.2178,0.3599,0.9435,1.033
0.02711276,0.2222,0.3599,0.9508,1.041
0.029557448,0.2251,0.3604,0.9503,1.041
0.032207447,0.2305,0.3628,0.9488,1.042
0.03744526,0.2412,0.3702,0.9444,1.043
0.042433125,0.2549,0.3804,0.9391,1.045
0.046479479,0.2617,0.3907,0.9327,1.045
0.049195208,0.2622,0.3931,0.9317,1.045
0.051806562,0.2652,0.3941,0.9264,1.041
0.054593541,0.2647,0.3941,0.9229,1.038
0.057133281,0.2637,0.3921,0.9195,1.034
0.061942135,0.2588,0.3887,0.9093,1.022
0.066505989,0.2583,0.3882,0.9015,1.015
0.071405208,0.2510,0.3892,0.8985,1.011
0.073882968,0.2476,0.3892,0.8966,1.008
0.076558489,0.2451,0.3902,0.8932,1.005
0.079635052,0.2437,0.3907,0.8917,1.004
0.082468593,0.2407,0.3882,0.8883,0.999
0.085750104,0.2305,0.3843,0.8844,0.991
0.091007864,0.2256,0.3814,0.8829,0.988
0.096049062,0.2197,0.3765,0.8868,0.988
0.098575208,0.2144,0.3750,0.8893,0.989
0.102945677,0.2105,0.3741,0.8888,0.987
0.105439427,0.2075,0.3745,0.8888,0.987
0.107897552,0.2056,0.3741,0.8873,0.985
0.11036375,0.2036,0.3780,0.8863,0.985
0.113925364,0.2017,0.3794,0.8844,0.983
0.117839479,0.2031,0.3785,0.8780,0.977
0.121227135,0.2041,0.3789,0.8746,0.975
0.125092812,0.2080,0.3794,0.8707,0.972
0.130123281,0.2110,0.3785,0.8707,0.973
0.132538125,0.2100,0.3785,0.8702,0.972
0.13506302,0.2114,0.3780,0.8722,0.974
0.138095625,0.2139,0.3799,0.8741,0.977
0.14058052,0.2154,0.3794,0.8736,0.977
0.144571979,0.2188,0.3775,0.8761,0.979
0.147061927,0.2183,0.3770,0.8775,0.980
0.149790208,0.2154,0.3770,0.8775,0.979
0.154990416,0.2178,0.3745,0.8785,0.980
0.159455677,0.2163,0.3750,0.8853,0.986
0.16327401,0.2188,0.3765,0.8917,0.992
0.166502812,0.2241,0.3799,0.9068,1.008
0.171460312,0.2285,0.3838,0.9220,1.024
0.173969739,0.2320,0.3819,0.9269,1.029
0.176527343,0.2324,0.3809,0.9332,1.034
0.179770104,0.2315,0.3809,0.9381,1.039
0.182202916,0.2285,0.3780,0.9430,1.041
0.186304218,0.2266,0.3780,0.9464,1.044
0.189015468,0.2246,0.3750,0.9444,1.041
0.194257083,0.2222,0.3726,0.9391,1.034
0.198462656,0.2237,0.3736,0.9312,1.028
0.20316401,0.2178,0.3775,0.9225,1.020
0.207946406,0.2129,0.3794,0.9117,1.010
0.210588229,0.2134,0.3794,0.9073,1.006
0.214750156,0.2085,0.3809,0.9039,1.003
0.217992135,0.2031,0.3814,0.8956,0.994
0.221453906,0.2041,0.3804,0.8917,0.991
0.225431093,0.1997,0.3824,0.8863,0.986
0.230310729,0.2002,0.3804,0.8849,0.984
0.235098958,0.2027,0.3824,0.8858,0.986
0.238003437,0.2012,0.3804,0.8839,0.983
0.242462135,0.1992,0.3838,0.8834,0.984
0.246325208,0.2002,0.3824,0.8849,0.985
0.249622291,0.1953,0.3819,0.8795,0.979
0.254781822,0.1934,0.3833,0.8751,0.975
0.259401406,0.1939,0.3848,0.8639,0.965
0.262205052,0.1953,0.3897,0.8570,0.962
0.266858229,0.2027,0.3965,0.8414,0.952
0.271801718,0.2085,0.4043,0.8302,0.947
0.274273802,0.2105,0.4087,0.8282,0.947
0.276874895,0.2119,0.4112,0.8297,0.950
0.279648177,0.2124,0.4092,0.8316,0.951
0.28365651,0.2168,0.4078,0.8394,0.958
0.288724166,0.2207,0.4029,0.8565,0.972
0.291209114,0.2183,0.3975,0.8634,0.975
0.293867395,0.2197,0.3931,0.8697,0.979
0.296311354,0.2222,0.3907,0.8795,0.988
0.301135781,0.2256,0.3868,0.8912,0.997
0.306138541,0.2281,0.3858,0.8961,1.002
0.310778541,0.2339,0.3868,0.8966,1.004
0.314570156,0.2349,0.3863,0.8966,1.004
0.318618437,0.2344,0.3897,0.8927,1.002
0.321562968,0.2359,0.3926,0.8897,1.001
0.324004687,0.2359,0.3936,0.8902,1.002
0.327693645,0.2354,0.3990,0.8858,1.000
0.330205989,0.2364,0.4014,0.8858,1.001
0.33278052,0.2354,0.4019,0.8863,1.001
0.335331458,0.2339,0.4048,0.8883,1.004
0.33820677,0.2324,0.4043,0.8917,1.006
0.341018958,0.2320,0.4053,0.8976,1.012
0.345217604,0.2364,0.3995,0.9122,1.023
0.347633333,0.2388,0.3960,0.9176,1.028
0.350142708,0.2368,0.3921,0.9225,1.030
0.354904739,0.2364,0.3843,0.9327,1.036
0.357396093,0.2378,0.3814,0.9361,1.038
0.363160937,0.2315,0.3755,0.9386,1.037
0.366838177,0.2300,0.3667,0.9371,1.032
0.369570677,0.2271,0.3643,0.9371,1.031
0.372022708,0.2246,0.3648,0.9366,1.030
0.374556041,0.2227,0.3623,0.9371,1.029
0.377306093,0.2212,0.3643,0.9352,1.028
0.380072708,0.2188,0.3653,0.9356,1.028
0.384432499,0.2193,0.3711,0.9317,1.027
0.389249166,0.2193,0.3760,0.9283,1.025
0.391833593,0.2188,0.3765,0.9254,1.023
0.39657552,0.2197,0.3804,0.9186,1.018
0.399332864,0.2197,0.3814,0.9132,1.014
0.403569374,0.2202,0.3789,0.9107,1.011
0.406100104,0.2217,0.3780,0.9098,1.010
0.410877083,0.2188,0.3785,0.9083,1.008
0.414602187,0.2183,0.3799,0.9073,1.008
0.418708177,0.2168,0.3780,0.9049,1.004
0.422077812,0.2129,0.3765,0.9029,1.001
0.426026302,0.2095,0.3760,0.8971,0.995
0.430783489,0.2046,0.3726,0.8893,0.986
0.433298229,0.2022,0.3726,0.8849,0.981
0.438079062,0.2007,0.3716,0.8780,0.974
0.44061151,0.1988,0.3706,0.8756,0.971
0.443079374,0.1978,0.3721,0.8726,0.969
0.448540677,0.1983,0.3716,0.8663,0.963
0.452722864,0.1978,0.3736,0.8643,0.962
0.455442343,0.1958,0.3692,0.8629,0.959
0.458832343,0.1953,0.3667,0.8624,0.957
0.463663645,0.1885,0.3609,0.8629,0.954
0.467788281,0.1895,0.3584,0.8653,0.956
0.472555051,0.1914,0.3604,0.8702,0.961
0.47773276,0.1934,0.3628,0.8770,0.969
0.483002604,0.1983,0.3677,0.8819,0.976
0.487034479,0.1992,0.3736,0.8863,0.982
0.492001145,0.2007,0.3770,0.8932,0.990
0.497222395,0.2022,0.3775,0.8971,0.994
0.500414947,0.2090,0.3785,0.9044,1.002
0.505339947,0.2119,0.3804,0.9063,1.006
0.509160104,0.2090,0.3765,0.9083,1.005
0.51619552,0.2071,0.3775,0.9059,1.003
0.519041926,0.2075,0.3765,0.9015,0.999
0.525166979,0.2085,0.3741,0.8956,0.993
0.528987291,0.1934,0.3745,0.8888,0.984
0.533648333,0.1885,0.3662,0.8829,0.974
0.536199114,0.1895,0.3667,0.8809,0.973
0.539236301,0.1934,0.3648,0.8819,0.974
0.543082031,0.2036,0.3648,0.8790,0.973
0.548002551,0.2085,0.3667,0.8790,0.975
0.550798645,0.2095,0.3672,0.8834,0.979
