time,gFx,gFy,gFz,TgF
0.004909322,0.2114,-0.1021,0.9786,1.006
0.00859177,0.2075,-0.0449,0.8805,0.906
0.012840989,0.2041,-0.0244,0.8702,0.894
0.015451614,0.2031,-0.0176,0.8717,0.895
0.018211406,0.2061,-0.0132,0.8795,0.903
0.02120401,0.2100,-0.0142,0.8912,0.916
0.02472875,0.2178,-0.0230,0.9161,0.942
0.027139479,0.2232,-0.0308,0.9288,0.956
0.02992625,0.2276,-0.0391,0.9454,0.973
0.035043281,0.2407,-0.0562,0.9981,1.028
0.038407447,0.2505,-0.0615,1.0245,1.056
0.042062395,0.2740,-0.0757,1.0734,1.110
0.045556927,0.2754,-0.0806,1.0939,1.131
0.049508854,0.2881,-0.0874,1.1251,1.165
0.05437776,0.2969,-0.0933,1.1285,1.171
0.058164635,0.2984,-0.0928,1.1212,1.164
0.062187656,0.2993,-0.0884,1.1070,1.150
0.066685,0.3042,-0.0659,1.1046,1.148
0.069101718,0.3174,-0.0479,1.0978,1.144
0.071869427,0.3316,-0.0303,1.0870,1.137
0.076470312,0.3951,0.0269,1.0382,1.111
0.079022916,0.4331,0.0630,1.0074,1.098
0.081963489,0.4356,0.0889,1.0016,1.096
0.087196354,0.4058,0.1113,0.9898,1.076
0.090984166,0.3745,0.1050,0.9435,1.020
0.095958072,0.3496,0.0903,0.8785,0.950
0.098654843,0.3350,0.0845,0.8565,0.924
0.103716302,0.3076,0.0801,0.8346,0.893
0.107997187,0.2998,0.0723,0.8243,0.880
0.11349802,0.2769,0.0483,0.8341,0.880
0.118301197,0.2593,0.0195,0.8678,0.906
0.121328333,0.2661,0.0068,0.8907,0.930
0.123782916,0.2613,-0.0034,0.9229,0.959
0.128449166,0.2661,-0.0322,0.9352,0.973
0.132990364,0.2749,-0.0610,0.8868,0.930
0.135429947,0.2764,-0.0684,0.8487,0.895
0.138235364,0.2740,-0.0708,0.8248,0.872
0.142058697,0.2749,-0.0625,0.7691,0.819
0.145392239,0.2798,-0.0498,0.7613,0.813
0.149673645,0.2925,-0.0083,0.7930,0.845
0.154526458,0.3252,0.0371,0.8180,0.881
0.158221822,0.3492,0.0625,0.8184,0.892
0.162155208,0.3819,0.1011,0.7979,0.890
0.164627291,0.3892,0.1109,0.7906,0.888
0.169241614,0.3736,0.1167,0.8150,0.904
0.172013593,0.3570,0.1177,0.8556,0.934
0.17676276,0.3218,0.0982,0.9220,0.981
0.179515729,0.3111,0.0791,0.9386,0.992
0.182094895,0.3057,0.0620,0.9596,1.009
0.187506874,0.2974,0.0127,0.9630,1.008
