time,gFx,gFy,gFz,TgF
0.003583646,0.0356,-0.0674,1.0494,1.052
0.007090625,0.0454,-0.0991,1.1017,1.107
0.013406094,0.0410,-0.1543,1.1339,1.145
0.01627849,0.0356,-0.1773,1.1525,1.167
0.018779896,0.0337,-0.1836,1.1613,1.176
0.021436407,0.0337,-0.1909,1.1720,1.188
0.026130521,0.0322,-0.1983,1.1993,1.216
0.02883625,0.0347,-0.1963,1.2145,1.231
0.033383959,0.0400,-0.1909,1.2457,1.261
0.035858073,0.0415,-0.1841,1.2550,1.269
0.038342552,0.0410,-0.1782,1.2628,1.276
0.043118125,0.0420,-0.1631,1.2701,1.281
0.045691354,0.0415,-0.1558,1.2716,1.282
0.050465417,0.0488,-0.1450,1.2565,1.266
0.053739584,0.0591,-0.1406,1.2365,1.246
0.057977084,0.0825,-0.1377,1.1984,1.209
0.062945886,0.1035,-0.1299,1.1451,1.157
0.067721823,0.1187,-0.1245,1.0782,1.092
0.070763854,0.1201,-0.1216,1.0436,1.057
0.075126354,0.1074,-0.1172,0.9850,0.998
0.077652448,0.0996,-0.1113,0.9625,0.974
0.080553073,0.0903,-0.1074,0.9444,0.955
0.084980261,0.0615,-0.0982,0.9361,0.943
0.087793438,0.0542,-0.0923,0.9410,0.947
0.09198,0.0366,-0.0889,0.9625,0.967
0.096413438,0.0293,-0.0879,0.9747,0.979
0.099718386,0.0000,-0.0879,0.9947,0.999
0.107520157,-0.0215,-0.0879,1.0367,1.041
0.112403907,-0.0176,-0.0684,1.1163,1.119
0.116639375,-0.0054,-0.0645,1.1495,1.151
0.121426198,0.0088,-0.0645,1.1725,1.174
0.123837188,0.0171,-0.0649,1.1803,1.182
0.129020677,0.0308,-0.0762,1.1876,1.190
0.133730365,0.0371,-0.0884,1.1671,1.171
0.138776511,0.0547,-0.0918,1.1437,1.149
0.141221406,0.0659,-0.0942,1.1300,1.136
0.143750469,0.0791,-0.0908,1.1241,1.131
0.148194115,0.0923,-0.0820,1.1295,1.136
0.154229375,0.0879,-0.0620,1.1446,1.150
0.158374271,0.0591,-0.0469,1.1627,1.165
0.163289896,0.0376,-0.0386,1.1769,1.178
0.167921042,0.0322,-0.0361,1.1803,1.181
0.170759844,0.0400,-0.0366,1.1730,1.174
0.175176146,0.0606,-0.0376,1.1207,1.123
0.179076198,0.0869,-0.0332,1.0773,1.081
0.182771511,0.1353,-0.0190,0.9591,0.969
0.187698334,0.1773,0.0234,0.8438,0.863
0.192437709,0.1807,0.0942,0.8004,0.826
0.195979479,0.1748,0.1362,0.8165,0.846
0.199806406,0.2007,0.2095,0.8253,0.875
0.202311615,0.2178,0.2368,0.8199,0.881
0.205722761,0.2276,0.2574,0.8175,0.887
0.209620365,0.2119,0.2686,0.8453,0.912
0.212538021,0.1958,0.2613,0.8819,0.940
0.217058906,0.1787,0.2417,0.9483,0.995
0.221743386,0.1704,0.2114,0.9840,1.021
0.22638349,0.1690,0.1939,1.0255,1.057
0.229127917,0.1782,0.1944,1.0294,1.063
0.234510261,0.2241,0.1919,0.9542,0.999
0.237517292,0.2642,0.2056,0.8829,0.944
0.241603177,0.2862,0.2676,0.8394,0.926
0.246485209,0.2798,0.2857,0.8014,0.896
0.249049375,0.2700,0.2754,0.7691,0.860
0.254473073,0.2290,0.2403,0.6988,0.774
0.258544584,0.1846,0.1963,0.6226,0.678
0.262500781,0.1568,0.1753,0.5840,0.630
0.26542375,0.0952,0.1441,0.5284,0.556
0.268190521,0.0649,0.1240,0.5137,0.532
0.270893698,0.0356,0.1035,0.5118,0.523
0.275321198,-0.0396,0.0654,0.5640,0.569
0.277916198,-0.0996,0.0420,0.6085,0.618
0.280426354,-0.1675,0.0249,0.6627,0.684
0.285211198,-0.3262,0.0181,0.7760,0.842
0.290039167,-0.4410,0.0410,0.8668,0.973
0.292787396,-0.4629,0.0669,0.9264,1.038
0.295807188,-0.4561,0.1011,1.0069,1.110
0.299962709,-0.3286,0.1616,1.1705,1.226
0.304108229,-0.1968,0.1572,1.1656,1.193
0.307197031,0.0796,0.1079,1.0631,1.072
0.313843906,0.2490,0.0737,1.0431,1.075
0.317299896,0.3306,0.0503,1.0401,1.093
0.322152188,0.3677,0.0649,1.0284,1.094
0.325319531,0.3887,0.0942,1.0216,1.097
0.329614115,0.4395,0.1890,0.9791,1.090
0.334092084,0.4996,0.3335,0.8692,1.057
0.33690125,0.5464,0.4053,0.8009,1.051
0.341645677,0.6202,0.5460,0.6866,1.074
0.346192917,0.6397,0.6085,0.6373,1.089
0.349006875,0.6314,0.6046,0.6016,1.061
0.351588073,0.6036,0.5792,0.5743,1.015
0.354409323,0.5616,0.5323,0.5401,0.944
0.357081458,0.5040,0.4717,0.5279,0.869
0.361052552,0.3721,0.3394,0.5313,0.732
0.363624427,0.3023,0.2876,0.5635,0.701
0.366044063,0.2403,0.2383,0.5767,0.669
0.368862136,0.1748,0.1992,0.5899,0.647
0.373391823,0.0503,0.1304,0.6412,0.656
0.383616615,0.0088,0.0728,0.6978,0.702
0.388026875,0.0513,0.0039,0.9903,0.992
0.390522708,0.0957,-0.0425,1.0221,1.027
