time,gFx,gFy,gFz,TgF
7.62292E-4,-0.0991,0.0142,1.3073,1.311
0.005055833,-0.1226,0.0176,1.2809,1.287
0.009699688,-0.1358,0.0225,1.2579,1.265
0.013552344,-0.1441,0.0230,1.2418,1.250
0.017037188,-0.1499,0.0249,1.1984,1.208
0.021049636,-0.1533,0.0269,1.1774,1.188
0.024269219,-0.1436,0.0308,1.1305,1.140
0.029435677,-0.1348,0.0313,1.0851,1.094
0.031854115,-0.1333,0.0308,1.0660,1.075
0.036732136,-0.1333,0.0273,1.0387,1.048
0.041351198,-0.1367,0.0210,1.0284,1.038
0.043867188,-0.1416,0.0195,1.0304,1.040
0.046683073,-0.1489,0.0142,1.0353,1.046
0.051237865,-0.1509,0.0269,1.0524,1.063
0.053879792,-0.1528,0.0347,1.0587,1.070
0.056320677,-0.1533,0.0386,1.0621,1.074
0.058748854,-0.1563,0.0498,1.0694,1.082
0.061313281,-0.1587,0.0606,1.0738,1.087
0.065736406,-0.1616,0.0918,1.0856,1.101
0.068442552,-0.1621,0.1089,1.0914,1.109
0.070874948,-0.1631,0.1235,1.1007,1.120
0.073636875,-0.1597,0.1377,1.1119,1.132
0.080009844,-0.1519,0.1670,1.1383,1.160
0.083274323,-0.1485,0.1758,1.1544,1.177
0.088087292,-0.1543,0.1817,1.1656,1.190
0.093139323,-0.1445,0.2119,1.1959,1.223
0.095755313,-0.1338,0.2227,1.2042,1.232
0.098290261,-0.1182,0.2334,1.2081,1.236
0.102561615,-0.0537,0.2266,1.1857,1.208
0.107451511,-0.0283,0.2510,1.1930,1.219
0.109967031,-0.0161,0.2598,1.1984,1.226
0.112688021,-0.0122,0.2652,1.2037,1.233
0.115202917,-0.0112,0.2666,1.2037,1.233
0.117689115,-0.0112,0.2627,1.1959,1.224
0.120632969,-0.0083,0.2559,1.1725,1.200
0.124715417,0.0044,0.2427,1.1114,1.138
0.127157917,0.0054,0.2490,1.0880,1.116
0.129589115,0.0054,0.2544,1.0651,1.095
0.132444375,0.0073,0.2632,1.0358,1.069
0.137315104,0.0000,0.2749,0.9767,1.015
0.141632188,-0.0278,0.2754,0.9049,0.946
0.146916979,-0.0586,0.2666,0.8101,0.855
0.15176625,-0.0781,0.2749,0.7022,0.758
0.156678958,-0.0796,0.3042,0.5899,0.668
0.162683542,-0.0625,0.3179,0.5210,0.614
0.166308281,-0.0332,0.3130,0.5333,0.619
0.172078698,-0.0288,0.3140,0.6129,0.689
0.17635375,-0.0303,0.3076,0.7037,0.769
0.181034323,-0.0264,0.3042,0.7554,0.815
0.183682344,-0.0205,0.3062,0.8648,0.918
0.190191354,-0.0176,0.3184,0.9728,1.024
0.193474063,-0.0024,0.3311,1.0133,1.066
0.198419115,0.0034,0.3321,1.0016,1.055
0.202957604,-0.0215,0.3174,0.9742,1.025
0.205700781,-0.0439,0.3062,0.9557,1.004
0.210549896,-0.1035,0.2608,0.9537,0.994
0.215367969,-0.1861,0.2276,1.0621,1.102
0.21777875,-0.2114,0.2163,1.0553,1.098
0.2211375,-0.2241,0.2075,0.9859,1.032
0.225027083,-0.2129,0.1992,0.7833,0.836
0.22762375,-0.1983,0.2041,0.7081,0.763
0.232732917,-0.2271,0.2066,0.5987,0.673
0.237349896,-0.3501,0.2046,0.5528,0.686
0.239756094,-0.4253,0.2237,0.5552,0.734
0.244841875,-0.5450,0.2705,0.5494,0.820
0.248653906,-0.5635,0.2881,0.5547,0.842
0.251945052,-0.4566,0.3286,0.6285,0.843
0.254626094,-0.3462,0.3267,0.6295,0.789
0.25950099,-0.1245,0.3130,0.5836,0.674
0.262413594,-0.0405,0.3008,0.5630,0.640
0.26635599,0.0527,0.2901,0.6002,0.669
0.268836042,0.0674,0.2871,0.6373,0.702
0.274088021,0.0391,0.2852,0.7071,0.763
0.276515469,0.0146,0.2989,0.7208,0.780
0.280892604,-0.0029,0.3213,0.7369,0.804
0.283870573,-0.0293,0.3501,0.6959,0.780
0.289120729,-0.0093,0.3760,0.7310,0.822
0.291769531,0.0156,0.3946,0.7589,0.855
0.295788594,0.0938,0.4517,0.8165,0.938
0.298482917,0.1260,0.4756,0.8243,0.960
0.303114635,0.1861,0.5377,0.8834,1.051
0.306622813,0.1958,0.5757,0.9005,1.087
0.309701198,0.1978,0.6158,0.9195,1.124
0.313151198,0.1934,0.6851,0.9264,1.168
0.317978594,0.1856,0.7125,0.9464,1.199
0.320825365,0.1817,0.7042,0.9566,1.202
0.325302604,0.2095,0.6270,0.9503,1.158
0.327825521,0.2417,0.5626,0.9376,1.120
0.330304583,0.2788,0.4883,0.9317,1.088
0.332715469,0.3062,0.4165,0.9366,1.070
0.335214948,0.3135,0.3496,0.9508,1.060
0.340178385,0.2818,0.2583,0.9855,1.057
0.344597865,0.1856,0.2129,0.9947,1.034
0.347095573,0.1045,0.2041,0.9859,1.012
0.349519948,0.0332,0.1992,0.9664,0.987
0.352412917,0.0098,0.2007,0.9498,0.971
0.35759625,0.0249,0.2173,0.9498,0.975
0.36294401,0.1675,0.1616,0.8912,0.921
0.367382969,0.1455,0.0562,0.9532,0.966
0.371849271,0.1997,0.1441,1.0533,1.082
0.376474427,0.1011,0.2569,0.9610,1.000
0.380294896,0.1328,0.3062,0.9884,1.043
0.38356724,0.2681,0.3672,1.0362,1.132
0.386146615,0.3330,0.4146,1.0358,1.164
0.388988125,0.3726,0.4776,1.0392,1.203
0.393550313,0.4082,0.5538,0.9938,1.209
0.396303281,0.4126,0.5684,0.9752,1.202
0.401010104,0.3882,0.5684,1.0021,1.216
0.403682083,0.3824,0.5562,1.0235,1.226
0.408435833,0.3443,0.5088,1.0196,1.190
0.41362276,0.2715,0.4585,0.9239,1.067
0.418120104,0.2295,0.3829,0.8502,0.960
0.420796406,0.2031,0.3247,0.8482,0.931
0.425214479,0.1861,0.2456,0.9073,0.958
0.42773125,0.1992,0.2354,0.9508,1.000
0.430187812,0.2183,0.2349,1.0045,1.054
0.43304026,0.1802,0.2549,1.0621,1.107
0.4354625,0.1944,0.2598,1.1153,1.162
0.440639583,0.2154,0.2437,1.1476,1.193
0.443131667,0.1875,0.2505,1.0944,1.138
0.446502604,0.1670,0.2950,1.0069,1.062
